2023-06-08 15:06:49 status unpacked libsynctex2:amd64 2021.20210626.59705-1ubuntu0.1
2023-06-08 15:06:49 status half-configured libsynctex2:amd64 2021.20210626.59705-1ubuntu0.1
2023-06-08 15:06:49 status installed libsynctex2:amd64 2021.20210626.59705-1ubuntu0.1
2023-06-08 15:06:49 trigproc libc-bin:amd64 2.35-0ubuntu3.1 <none>
2023-06-08 15:06:49 status half-configured libc-bin:amd64 2.35-0ubuntu3.1
2023-06-08 15:06:49 status installed libc-bin:amd64 2.35-0ubuntu3.1
2023-06-08 15:06:54 startup archives unpack
2023-06-08 15:06:54 upgrade libssl3:amd64 3.0.2-0ubuntu1.9 3.0.2-0ubuntu1.10
2023-06-08 15:06:54 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.1
2023-06-08 15:06:54 status half-configured libssl3:amd64 3.0.2-0ubuntu1.9
2023-06-08 15:06:54 status unpacked libssl3:amd64 3.0.2-0ubuntu1.9
2023-06-08 15:06:54 status half-installed libssl3:amd64 3.0.2-0ubuntu1.9
2023-06-08 15:06:54 status unpacked libssl3:amd64 3.0.2-0ubuntu1.10
2023-06-08 15:06:54 startup packages configure
2023-06-08 15:06:54 configure libssl3:amd64 3.0.2-0ubuntu1.10 <none>
2023-06-08 15:06:54 status unpacked libssl3:amd64 3.0.2-0ubuntu1.10
2023-06-08 15:06:54 status half-configured libssl3:amd64 3.0.2-0ubuntu1.10
2023-06-08 15:06:54 status installed libssl3:amd64 3.0.2-0ubuntu1.10
2023-06-08 15:06:54 startup packages configure
2023-06-08 15:06:54 trigproc libc-bin:amd64 2.35-0ubuntu3.1 <none>
2023-06-08 15:06:54 status half-configured libc-bin:amd64 2.35-0ubuntu3.1
2023-06-08 15:06:54 status installed libc-bin:amd64 2.35-0ubuntu3.1
2023-06-08 15:07:00 startup archives unpack
2023-06-08 15:07:00 install linux-modules-5.19.0-43-generic:amd64 <none> 5.19.0-43.44~22.04.1
2023-06-08 15:07:00 status half-installed linux-modules-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1
2023-06-08 15:07:04 status unpacked linux-modules-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1
2023-06-08 15:07:04 install linux-image-5.19.0-43-generic:amd64 <none> 5.19.0-43.44~22.04.1
2023-06-08 15:07:04 status half-installed linux-image-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1
2023-06-08 15:07:05 status unpacked linux-image-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1
2023-06-08 15:07:05 install linux-modules-extra-5.19.0-43-generic:amd64 <none> 5.19.0-43.44~22.04.1
2023-06-08 15:07:05 status half-installed linux-modules-extra-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1
2023-06-08 15:07:15 status unpacked linux-modules-extra-5.19.0-43-generic:amd64 5.19.0-43.44~22.04.1
2023-06-08 15:07:15 upgrade linux-generic-hwe-22.04:amd64 5.19.0.42.43~22.04.15 5.19.0.43.44~22.04.17
2023-06-08 15:07:15 status half-configured linux-generic-hwe-22.04:amd64 5.19.0.42.43~22.04.15
2023-06-08 15:07:15 status unpacked linux-generic-hwe-22.04:amd64 5.19.0.42.43~22.04.15
2023-06-08 15:07:15 status half-installed linux-generic-hwe-22.04:amd64 5.19.0.42.43~22.04.15
2023-06-08 15:07:15 status unpacked linux-generic-hwe-22.04:amd64 5.19.0.43.44~22.04.17
2023-06-08 15:07:15 upgrade linux-image-generic-hwe-22.04:amd64 5.19.0.42.43~22.04.15 5.19.0.43.44~22.04.17
2023-06-08 15:07:15 status half-configured linux-image-generic-hwe-22.04:amd64 5.19.0.42.43~22.04.15
2023-06-08 15:07:15 status unpacked linux-image-generic-hwe-22.04:amd64 5.19.0.42.43~22.04.15
2023-06-08 15:07:15 status half-installed linux-image-generic-hwe-22.04:amd64 5.19.0.42.43~22.04.15
2023-06-08 15:07:15 status unpacked linux-image-generic-hwe-22.04:amd64 5.19.0.43.44~22.04.17
2023-06-08 15:07:15 install linux-hwe-5.19-headers-5.19.0-43:all <none> 5.19.0-43.44~22.04.1
2023-06-08 15:07:15 status half-installed linux-hwe-5.19-headers-5.19.0-43:all 5.19.0-43.44~22.04.1
